smiles,order,ma_exact,ma_heur
[H]C([H])([H])[N@H+]1C([H])([H])[C@@]1([H])C([H])([H])[NH+]1C([H])([H])C1([H])[H],1,5.0,8.46
[H]OC(C#CC#N)(C([H])([H])[H])C([H])([H])[H],2,6.0,4.91
[H]C(=O)OC([H])([H])C([H])([H])C1([H])C([H])([H])C1([H])[H],1,6.0,6.67
[H]c1c(N([H])[H])nc(OC([H])([H])[H])n1[H],2,7.0,6.41
[H]c1nnn(C([H])([H])[H])n1,2,5.0,5.82
[H]O[C@]1([H])[C@]2([H])C([H])([H])O[C@]12C([H])([H])C([H])([H])[H],1,4.0,8.17
[H]OC([H])([H])C([H])(C([H])([H])O[H])C([H])([H])OC([H])([H])[H],2,4.0,5.32
[H]C1([H])[C@]2([H])O[C@@]1([H])[C@]1([H])C([H])([H])[C@@]2([H])C1([H])[H],2,4.0,9.67
[H]C1=C([H])[C@@]2([H])O[C+]([H])[NH2+][C@@]2([H])C1([H])[H],1,7.0,8.09
[H]C1([H])O[C@]2([H])[C@]3([H])C([H])([H])[C@@]1([H])C([H])([H])[C@]23[H],2,5.0,9.67
[H]C([H])([H])OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC([H])([H])[H],2,4.0,5.46
[H]C([H])([H])C([H])([H])C#C[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],1,4.0,5.46
[H]O[C@@]1([H])C([H])([H])C([H])=C([H])[C@@]1([H])O[H],1,5.0,6.41
[H]C([H])([H])C([H])([H])[C@]1([H])OC(=O)C([H])([H])C1([H])[H],1,5.0,6.67
[H]N1[C@@]([H])([C@]2([H])OC2([H])[H])[C@@]1([H])C#N,1,6.0,7.81
[H]c1nc(C([H])([H])[H])oc(=O)n1,2,6.0,6.08
[H]C([H])([H])C([H])([H])C1([NH+]2C([H])([H])C2([H])[H])C([H])([H])C1([H])[H],1,6.0,8.46
[H]O[C@]1([H])[C@@]2([H])[N@@H+]3[C@@]2([H])[C@@]2([H])[C@]3([H])[C@@]12[H],1,6.0,11.0
[H]C(=O)[C@]1(C#N)N([H])C1([H])[H],1,5.0,5.96
[H]OC1(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],1,5.0,6.96
[H][N-]C1N([H])C(=O)C([H])([H])C([H])([H])C1([H])[H],1,5.0,6.59
[H]N1C(=O)C([H])([H])O[C@@]2([H])C([H])([H])[C@@]12[H],1,6.0,7.91
[H]O[C@]1([H])C([H])([H])[C@]1([H])OC([H])([H])C([H])([H])C([H])([H])[H],1,4.0,6.82
[H]Oc1nc(N([H])C([H])([H])[H])n([H])c1[H],2,6.0,6.41
[H]O[C@]1(C#N)C([H])([H])C([H])([H])[C@]1([H])N([H])[H],1,6.0,6.5
[H]C(=O)C1=C([H])N([H])[C@@]([H])(C([H])([H])[H])C1([H])[H],1,6.0,6.59
[H]C1=C(C([H])([H])[H])C([H])([H])N(C([H])([H])[H])C1=O,2,6.0,6.59
[H]O[C@]([H])(C([H])([H])[H])[C@@]1([H])C([H])([H])O[C@@]1([H])C([H])([H])[H],1,4.0,6.82
[H]O[C@@]12C([H])([H])[N@H+]3C([H])([H])[C@]1([H])C([H])([H])[C@]32[H],1,5.0,9.67
[H]c1nc([H])c(N([H])[H])c([H])c1[H],2,5.0,6.2
[H]C#C[C@]([H])(O[H])[C@]1([H])O[C@]1([H])C([H])([H])[H],1,5.0,6.5
[H]C1=C([H])[C@]2(N([H])[C@]2([H])C([H])([H])[H])C([H])([H])C1([H])[H],1,5.0,8.25
[H]C(=O)C([H])([H])C#C[C@]1([H])OC1([H])[H],1,6.0,6.31
[H]O[C@]1([C@]2([H])N([H])C2([H])[H])C([H])([H])[C@]1([H])C([H])([H])[H],1,6.0,8.25
[H]C1([H])C([H])([H])C2(OC([H])([H])[C@]2([H])C([H])([H])[H])C1([H])[H],1,5.0,8.32
[H]C#C[C@]([H])(O[H])[C@@]1([H])[N@@H+](C([H])([H])[H])C1([H])[H],1,6.0,6.67
[H]C#CC(=O)OC([H])([H])[H],2,4.0,4.32
[H]O[C@]([H])(C([H])([H])C([H])([H])[H])[C@@]1([H])O[C@@]1([H])C([H])([H])[H],1,5.0,6.82
[H]N([H])C([H])([H])c1nnnn1[H],2,6.0,6.08
[H]C1=C([H])C([H])([H])C([H])(C(=O)C([H])([H])[H])C1([H])[H],2,5.0,6.67
[H][N-][C@H]1OC([H])([H])[C@]([H])(O[H])C([H])=C1[H],1,5.0,6.5
[H]N1C([H])([H])[C@]1([H])C([H])([H])[N@@H+]1C([H])([H])[C@]1([H])C([H])([H])[H],1,4.0,8.39
[H]C(=O)[C@@]1(C#N)[N@@H+](C([H])([H])[H])C1([H])[H],1,6.0,6.41
[H]C1([H])OC([H])([H])C2(C1=O)C([H])([H])C2([H])[H],1,5.0,8.0
[H]O[C@]1([H])[C@]([H])(O[H])[C@]([H])(C([H])([H])[H])[C@]1([H])O[H],1,5.0,6.67
[H]C(=O)[C@@]1(C(=O)C([H])([H])[H])OC1([H])[H],1,5.0,6.31
[H]N([H])[C@@]1(C([H])([H])[H])C(=O)O[C@]1([H])C([H])([H])[H],1,6.0,6.59
[H]C#C[C@]([H])(O[H])C([H])([H])C([H])([H])O[H],1,4.0,4.91
[H]O[C@@]1([H])[C@@]2(C([H])([H])[H])C([H])=C([H])[C@]1([H])C2([H])[H],1,6.0,8.17
[H][N-]C1O[C@]([H])(C([H])([H])[H])C12C([H])([H])C2([H])[H],1,6.0,8.17
[H]C#C[C@@]([H])(O[H])C([H])([H])C#N,1,5.0,4.58
[H]C1([H])O[C@@]2(C([H])([H])[H])C([H])([H])[C@@]2([H])C1([H])[H],1,4.0,8.09
[H]OC([H])([H])[C@@]([H])(C#CC([H])([H])[H])O[H],1,4.0,4.91
[H]O[C@@]1([H])C(=O)[C@@]([H])(C([H])([H])[H])N([H])C1([H])[H],1,6.0,6.59
[H]C([H])([H])C([H])(C([H])([H])[H])C1([H])C([H])([H])C([H])([H])C1([H])[H],2,4.0,6.89
[H]C(=O)[C@]1([H])C([H])([H])[C@]1([H])C(=O)C([H])([H])[H],1,5.0,6.5
[H]C1([H])OC(=O)C2(C1([H])[H])C([H])([H])C2([H])[H],1,5.0,8.0
[H]C#CC([H])([H])C([H])([H])C#C[H],4,3.0,4.58
[H]O[C@]12[C@@]3([H])C([H])([H])[C@]4([H])[C@]([H])([C@]31[H])[C@@]42[H],1,5.0,11.0
[H]C#C[C@]1([H])OC(=O)C([H])([H])O1,1,5.0,6.08
[H]C#C[C@]1([H])O[C@]1([H])C([H])([H])C([H])([H])O[H],1,5.0,6.5
[H]O/N=C(\C([H])([H])[H])C([H])([H])C([H])([H])C([H])=O,1,5.0,5.09
[H]C(=O)c1c([H])nc([H])nc1[H],2,6.0,6.08
[H]O[C@]12C([H])([H])[N@@H+]3[C@]([H])(C1([H])[H])C([H])([H])[C@@]32[H],1,5.0,9.67
[H]C#CC(=O)C([H])([H])[NH+](C([H])([H])[H])C([H])([H])[H],2,6.0,5.17
[H]OC([H])([H])[C@@]([H])(O[H])[C@@]([H])(O[H])C([H])=O,1,4.0,5.0
[H]C1=C([H])[C@@]2([H])C([H])([H])[C@@]2([H])C([H])([H])OC1([H])[H],1,6.0,8.17
[H]C([H])([H])C(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],1,4.0,5.25
[H]C(=O)c1oc([H])c([H])c1N([H])[H],2,6.0,6.2
[H]N([H])C(=O)C([H])([H])OC([H])([H])C#N,1,5.0,4.81
[H]C#CC(=O)C(=O)C#C[H],4,4.0,4.32
[H][C-]1[C@@H]2C([H])([H])[C@@]3(C([H])([H])[H])[C@]2([H])[C@@]3([H])C1([H])[H],1,4.0,9.75
[H]C([H])([H])C(=O)C1(C([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H],1,5.0,6.82
