mol_index,id,smiles,point_group,order,max_rotation_order,confidence,method,assembly_index
73,gdb_74,[H]N(C(=O)C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.58
74,gdb_75,[H]N([H])C(=O)N([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.46
75,gdb_76,[H][N-]C(OC([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.7
76,gdb_77,[H]C([H])([H])OC(=O)C([H])([H])[H],Cs,2,1,0.73,pymatgen,4.46
77,gdb_78,[H]N([H])C(=O)OC([H])([H])[H],Cs,2,1,0.73,pymatgen,4.32
78,gdb_79,[H]OC([H])([H])C(=O)N([H])[H],Cs,2,1,0.73,pymatgen,4.32
79,gdb_80,[H]OC(=O)C([H])([H])N([H])[H],Cs,2,1,0.73,pymatgen,4.32
80,gdb_81,[H]OC([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,4.91
81,gdb_82,[H]OC([H])([H])[C@]([H])(O[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.7
82,gdb_83,[H]C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,5.09
83,gdb_84,[H]O[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.91
84,gdb_85,[H]C([H])([H])OC([H])(C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.91
85,gdb_86,[H]C([H])([H])C1(C([H])([H])[H])C([H])([H])C1([H])[H],C2v,4,2,0.81,pymatgen,6.41
86,gdb_87,[H]C([H])([H])C1(C([H])([H])[H])OC1([H])[H],Cs,2,1,0.73,pymatgen,6.2
87,gdb_88,[H]OC1(C([H])([H])[H])C([H])([H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,6.2
88,gdb_89,[H][N-]C1OC([H])([H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.96
89,gdb_90,[H]C1([H])C(=O)C([H])([H])C1([H])[H],Cs,2,1,0.73,pymatgen,5.96
90,gdb_91,[H]N1C(=O)C([H])([H])C1([H])[H],Cs,2,1,0.73,pymatgen,5.82
91,gdb_92,[H]C1([H])OC(=O)C1([H])[H],Cs,2,1,0.73,pymatgen,5.67
92,gdb_93,[H]N1C([H])([H])C(=O)C1([H])[H],Cs,2,1,0.73,pymatgen,5.82
93,gdb_94,[H]C1([H])OC([H])([H])C1=O,C2v,4,2,0.81,pymatgen,5.67
94,gdb_95,[H]C([H])([H])C1([H])C([H])([H])C([H])([H])C1([H])[H],Cs,2,1,0.73,pymatgen,6.41
95,gdb_96,[H]C1([H])O[C@@]([H])(C([H])([H])[H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,6.2
96,gdb_97,[H]C([H])([H])C1([H])C([H])([H])OC1([H])[H],Cs,2,1,0.73,pymatgen,6.2
97,gdb_98,[H]OC1([H])C([H])([H])C([H])([H])C1([H])[H],Cs,2,1,0.73,pymatgen,6.2
98,gdb_99,[H]OC1([H])C([H])([H])OC1([H])[H],Cs,2,1,0.73,pymatgen,5.96
99,gdb_100,[H]C([H])([H])[C@@]1([H])C([H])([H])[C@@]1([H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,6.41
100,gdb_101,[H]O[C@]1([H])C([H])([H])[C@]1([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,6.2
101,gdb_102,[H]C([H])([H])[N@@H+]1C([H])([H])[C@]1([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,6.41
102,gdb_103,[H]C([H])([H])[C@]1([H])O[C@]1([H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,6.2
103,gdb_104,[H]O[C@@]1([H])C([H])([H])[C@@]1([H])O[H],C1,1,1,0.6900000000000001,pymatgen,5.96
104,gdb_105,[H]C1([H])[C@]2([H])C([H])([H])[C@@]1([H])C2([H])[H],D3h,12,6,0.97,pymatgen,7.7
105,gdb_107,[H]C#CC([H])([H])C#C[H],C2v,4,2,0.81,pymatgen,4.17
106,gdb_108,[H]C#CC([H])([H])C#N,Cs,2,1,0.73,pymatgen,4.0
107,gdb_109,[H]C([H])(C#N)C#N,C2v,4,2,0.81,pymatgen,3.81
108,gdb_110,[H]C#CC([H])([H])C([H])=O,Cs,2,1,0.73,pymatgen,4.17
109,gdb_111,[H]C(=O)C([H])([H])C#N,C1,1,1,0.6900000000000001,pymatgen,4.0
110,gdb_112,[H]/N=C(\[H])N([H])C([H])=O,Cs,2,1,0.73,pymatgen,4.17
111,gdb_113,[H][N-][C+]([H])OC([H])=O,Cs,2,1,0.73,pymatgen,4.0
112,gdb_114,[H]C(=O)N([H])C([H])=O,C2v,4,2,0.81,pymatgen,4.0
113,gdb_115,[H]C#CC#CC([H])([H])[H],C3v,6,3,0.89,pymatgen,4.17
114,gdb_116,[H]C([H])([H])C#CC#N,C3v,6,3,0.89,pymatgen,4.0
115,gdb_117,[H]C(=O)C#CC([H])([H])[H],Cs,2,1,0.73,pymatgen,4.17
116,gdb_118,[H]OC([H])([H])C#CC([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.46
117,gdb_119,[H]C([H])([H])C#CC([H])([H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,4.7
118,gdb_120,[H][C+]([NH2+]C([H])([H])[H])OC([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.81
119,gdb_121,[H]C#CC([H])([H])C([H])([H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,4.7
120,gdb_122,[H]C([H])([H])C([H])([H])C([H])([H])C#N,Cs,2,1,0.73,pymatgen,4.58
121,gdb_123,[H]N(C([H])([H])[H])C([H])([H])C#N,C1,1,1,0.6900000000000001,pymatgen,4.46
122,gdb_124,[H]C#CC([H])([H])OC([H])([H])[H],Cs,2,1,0.73,pymatgen,4.46
123,gdb_125,[H]C([H])([H])OC([H])([H])C#N,Cs,2,1,0.73,pymatgen,4.32
124,gdb_126,[H]C#CC([H])([H])C([H])([H])O[H],C1,1,1,0.6900000000000001,pymatgen,4.46
125,gdb_127,[H]OC([H])([H])C([H])([H])C#N,Cs,2,1,0.73,pymatgen,4.32
126,gdb_128,[H]C(=O)C([H])([H])C([H])([H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,4.7
127,gdb_129,[H]C(=O)N([H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.58
128,gdb_130,[H]C(=O)OC([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.46
129,gdb_131,[H]C(=O)C([H])([H])OC([H])([H])[H],Cs,2,1,0.73,pymatgen,4.46
130,gdb_132,[H]OC([H])([H])C([H])([H])C([H])=O,C1,1,1,0.6900000000000001,pymatgen,4.46
131,gdb_133,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.09
132,gdb_134,[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.91
133,gdb_135,[H]C([H])([H])OC([H])([H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.91
134,gdb_136,[H]C([H])([H])C([H])([H])OC([H])([H])C([H])([H])[H],C2,2,2,0.73,pymatgen,4.91
135,gdb_137,[H]OC([H])([H])C([H])([H])OC([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.7
136,gdb_138,[H]OC([H])([H])C([H])([H])C([H])([H])O[H],C2,2,2,0.73,pymatgen,4.7
137,gdb_139,[H]C#CC1([H])C([H])([H])C1([H])[H],Cs,2,1,0.73,pymatgen,5.96
138,gdb_140,[H]C#C[C@]1([H])N([H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.82
139,gdb_141,[H]C#C[C@]1([H])OC1([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.67
140,gdb_142,[H]C1([H])C([H])([H])C1([H])C#N,Cs,2,1,0.73,pymatgen,5.82
141,gdb_143,[H]N1C([H])([H])[C@]1([H])C#N,C1,1,1,0.6900000000000001,pymatgen,5.67
142,gdb_144,[H]C1([H])O[C@@]1([H])C#N,C1,1,1,0.6900000000000001,pymatgen,5.5
143,gdb_145,[H]C(=O)C1([H])C([H])([H])C1([H])[H],Cs,2,1,0.73,pymatgen,5.96
144,gdb_146,[H]C(=O)[C@]1([H])N([H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.82
145,gdb_147,[H]C(=O)[C@]1([H])OC1([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.67
146,gdb_148,[H]C(=O)N1C([H])([H])C1([H])[H],Cs,2,1,0.73,pymatgen,5.82
147,gdb_149,[H]C([H])([H])C([H])([H])C1([H])C([H])([H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,6.41
148,gdb_150,[H]C([H])([H])C([H])([H])[C@]1([H])OC1([H])[H],C1,1,1,0.6900000000000001,pymatgen,6.2
149,gdb_151,[H]C([H])([H])C([H])([H])[NH+]1C([H])([H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,6.41
150,gdb_152,[H]C([H])([H])OC1([H])C([H])([H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,6.2
151,gdb_153,[H]OC([H])([H])C1([H])C([H])([H])C1([H])[H],Cs,2,1,0.73,pymatgen,6.2
152,gdb_154,[H]OC([H])([H])[C@]1([H])N([H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,6.08
153,gdb_155,[H]OC([H])([H])[C@]1([H])OC1([H])[H],C1,1,1,0.6900000000000001,pymatgen,5.96
154,gdb_156,[H]C1=C([H])C([H])([H])C([H])([H])C1([H])[H],Cs,2,1,0.73,pymatgen,6.2
155,gdb_157,[H]C1=NC([H])([H])C([H])([H])O1,Cs,2,1,0.73,pymatgen,5.82
156,gdb_158,[H]C1=C([H])C([H])([H])OC1([H])[H],Cs,2,1,0.73,pymatgen,5.96
157,gdb_159,[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],D2,2,2,0.73,pymatgen,6.41
158,gdb_160,[H]C1([H])OC([H])([H])C([H])([H])C1([H])[H],C2,2,2,0.73,pymatgen,6.2
159,gdb_161,[H]C1([H])OC([H])([H])C([H])([H])O1,C2,2,2,0.73,pymatgen,5.96
160,gdb_162,[H]C1([H])C([H])([H])[C@]2([H])C([H])([H])[C@]12[H],Cs,2,1,0.73,pymatgen,7.7
161,gdb_163,[H]C1([H])O[C@@]2([H])C([H])([H])[C@@]12[H],C1,1,1,0.6900000000000001,pymatgen,7.46
162,gdb_164,[H]C1([H])C([H])([H])[C@@]2([H])O[C@@]12[H],Cs,2,1,0.73,pymatgen,7.46
163,gdb_165,[H]c1nn([H])c([H])c1[H],Cs,2,1,0.73,pymatgen,5.67
164,gdb_166,[H]c1nnn([H])c1[H],Cs,2,1,0.73,pymatgen,5.5
165,gdb_167,[H]c1nc([H])n([H])n1,Cs,2,1,0.73,pymatgen,5.5
166,gdb_168,[H]c1nnc([H])n1[H],D2d,4,2,0.81,pymatgen,5.5
167,gdb_169,[H]c1nn([H])nc1[H],C2v,4,2,0.81,pymatgen,5.5
168,gdb_170,[H]c1noc([H])c1[H],Cs,2,1,0.73,pymatgen,5.5
169,gdb_171,[H]c1nnoc1[H],Cs,2,1,0.73,pymatgen,5.31
170,gdb_172,[H]c1noc([H])n1,Cs,2,1,0.73,pymatgen,5.31
171,gdb_173,[H]c1nnc([H])o1,C2v,4,2,0.81,pymatgen,5.31
172,gdb_174,[H]c1nnno1,Cs,2,1,0.73,pymatgen,5.08
173,gdb_175,[H]c1nonc1[H],C2v,4,2,0.81,pymatgen,5.31
174,gdb_176,[H]c1nnon1,Cs,2,1,0.73,pymatgen,5.08
175,gdb_177,n1nnon1,C2v,4,2,0.81,pymatgen,4.82
176,gdb_178,[H]C#C/C(=N/O[H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,4.46
177,gdb_179,[H]O/N=C(\C([H])([H])[H])C([H])([H])O[H],C1,1,1,0.6900000000000001,pymatgen,4.7
178,gdb_180,[H]O/N=C(\C([H])([H])[H])C([H])([H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,4.91
179,gdb_181,[H]ONC1C([H])([H])C([H])([H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,6.41
180,gdb_182,[H]ONC1C([H])([H])N([H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,6.31
181,gdb_183,[H]ONC1C([H])([H])OC1([H])[H],C1,1,1,0.6900000000000001,pymatgen,6.2
182,gdb_184,FC(F)(F)F,Td,24,12,0.97,pymatgen,3.32
183,gdb_185,[H][N-]c1oc([H])c([H])[n+]1[H],Cs,2,1,0.73,pymatgen,5.82
184,gdb_186,[H][N-]C1OC([H])=C([H])O1,Cs,2,1,0.73,pymatgen,5.82
185,gdb_187,[H]c1c([H])n([H])c(=O)n1[H],C2v,4,2,0.81,pymatgen,5.82
186,gdb_188,[H]c1oc(=O)n([H])c1[H],Cs,2,1,0.73,pymatgen,5.67
187,gdb_189,[H]c1oc(=O)oc1[H],C2v,4,2,0.81,pymatgen,5.5
188,gdb_190,[H]c1c([H])c(C([H])([H])[H])n([H])c1[H],Cs,2,1,0.73,pymatgen,6.2
189,gdb_191,[H]c1oc(C([H])([H])[H])c([H])c1[H],Cs,2,1,0.73,pymatgen,6.08
190,gdb_192,[H]c1nc([H])c(C([H])([H])[H])o1,Cs,2,1,0.73,pymatgen,5.96
191,gdb_193,[H]c1nc(C([H])([H])[H])oc1[H],Cs,2,1,0.73,pymatgen,5.96
192,gdb_194,[H]c1c([H])c(N([H])[H])n([H])c1[H],Cs,2,1,0.73,pymatgen,6.08
193,gdb_195,[H]c1oc(N([H])[H])c([H])c1[H],Cs,2,1,0.73,pymatgen,5.96
194,gdb_196,[H]c1nc([H])c(N([H])[H])o1,Cs,2,1,0.73,pymatgen,5.82
195,gdb_197,[H]c1nc(N([H])[H])oc1[H],Cs,2,1,0.73,pymatgen,5.82
196,gdb_198,[H]Oc1c([H])c([H])c([H])n1[H],Cs,2,1,0.73,pymatgen,5.96
197,gdb_199,[H]Oc1c([H])nc([H])n1[H],Cs,2,1,0.73,pymatgen,5.82
198,gdb_200,[H]Oc1nc([H])c([H])n1[H],Cs,2,1,0.73,pymatgen,5.82
199,gdb_201,[H]c1c(C([H])([H])[H])c([H])n([H])c1[H],Cs,2,1,0.73,pymatgen,6.2
200,gdb_202,[H]c1nc(C([H])([H])[H])c([H])n1[H],Cs,2,1,0.73,pymatgen,6.08
201,gdb_203,[H]c1oc([H])c(C([H])([H])[H])c1[H],Cs,2,1,0.73,pymatgen,6.08
202,gdb_204,[H]c1nc(C([H])([H])[H])c([H])o1,Cs,2,1,0.73,pymatgen,5.96
203,gdb_205,[H]c1c(N([H])[H])c([H])n([H])c1[H],Cs,2,1,0.73,pymatgen,6.08
204,gdb_206,[H]c1nc(N([H])[H])c([H])n1[H],Cs,2,1,0.73,pymatgen,5.96
205,gdb_207,[H]c1oc([H])c(N([H])[H])c1[H],Cs,2,1,0.73,pymatgen,5.96
206,gdb_208,[H]c1nc(N([H])[H])c([H])o1,Cs,2,1,0.73,pymatgen,5.82
207,gdb_209,[H]Oc1c([H])c([H])n([H])c1[H],Cs,2,1,0.73,pymatgen,5.96
208,gdb_210,[H]Oc1nc([H])n([H])c1[H],Cs,2,1,0.73,pymatgen,5.82
209,gdb_211,[H]Oc1nc([H])oc1[H],Cs,2,1,0.73,pymatgen,5.67
210,gdb_212,[H]c1c([H])c([H])n(C([H])([H])[H])c1[H],Cs,2,1,0.73,pymatgen,6.2
211,gdb_213,[H]c1nc([H])n(C([H])([H])[H])c1[H],Cs,2,1,0.73,pymatgen,6.08
212,gdb_214,[H]c1c([H])c([H])c([H])c([H])c1[H],D6h,24,12,0.97,pymatgen,6.08
213,gdb_215,[H]c1nc([H])c([H])c([H])c1[H],C2v,4,2,0.81,pymatgen,5.96
214,gdb_216,[H]c1nc([H])c([H])nc1[H],D2h,8,4,0.97,pymatgen,5.82
215,gdb_217,[H]c1nc([H])c([H])c([H])n1,D2d,4,2,0.81,pymatgen,5.82
216,gdb_218,[H]c1nc([H])nc([H])n1,D3h,12,6,0.97,pymatgen,5.67
217,gdb_219,[H]C#CC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],C3v,6,3,0.89,pymatgen,5.0
218,gdb_220,[H]C([H])([H])C(C#N)(C([H])([H])[H])C([H])([H])[H],C3v,6,3,0.89,pymatgen,4.91
219,gdb_221,[H]N([H])C(C#N)(C([H])([H])[H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,4.81
220,gdb_222,[H]C#CC(O[H])(C([H])([H])[H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,4.81
221,gdb_223,[H]OC(C#N)(C([H])([H])[H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,4.7
222,gdb_224,[H]C(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,5.0
223,gdb_225,[H]OC(C([H])=O)(C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.81
224,gdb_226,[H]OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],C1,2,2,0.73,pymatgen,5.17
225,gdb_227,[H]OC([H])([H])C(O[H])(C([H])([H])[H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,5.0
226,gdb_228,[H]C([H])([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,5.32
227,gdb_229,[H]OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],C1,2,2,0.73,pymatgen,5.17
228,gdb_230,[H]C([H])([H])OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,5.17
229,gdb_231,[H]C([H])([H])C#CC(=O)C([H])([H])[H],Cs,2,1,0.73,pymatgen,4.58
230,gdb_232,[H]N([H])C(=O)C#CC([H])([H])[H],Cs,2,1,0.73,pymatgen,4.46
231,gdb_233,[H]C([H])([H])C#CC([H])(C([H])([H])[H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,5.0
232,gdb_234,[H]O[C@@]([H])(C#CC([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.81
233,gdb_235,[H]C#CC([H])([H])C(=O)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.58
234,gdb_236,[H]C([H])([H])C(=O)C([H])([H])C#N,Cs,2,1,0.73,pymatgen,4.46
235,gdb_237,[H]C#CC([H])([H])C(=O)N([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.46
236,gdb_238,[H]N([H])C(=O)C([H])([H])C#N,C1,1,1,0.6900000000000001,pymatgen,4.32
237,gdb_239,[H]/N=C(/N([H])C([H])=O)C([H])([H])[H],Cs,2,1,0.73,pymatgen,4.58
238,gdb_240,[H][N-]C(OC([H])=O)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.58
239,gdb_241,[H]C(=O)C([H])([H])C(=O)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.58
240,gdb_242,[H]/N=C(\[H])N([H])C(=O)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.58
241,gdb_243,[H]C(=O)N([H])C(=O)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.46
242,gdb_244,[H][N-][C+]([H])OC(=O)C([H])([H])[H],Cs,2,1,0.73,pymatgen,4.46
243,gdb_245,[H]/N=C(/N([H])[H])N([H])C([H])=O,C1,1,1,0.6900000000000001,pymatgen,4.46
244,gdb_246,[H]C(=O)C([H])([H])C(=O)N([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.46
