mol_index,id,smiles,symmetry_success,point_group,order,max_rotation_order,symmetry_confidence,symmetry_method,ma_success,assembly_index,ma_source,ma_error
57,gdb_58,[H]/N=C(/C#N)N([H])[H],True,C1,1,1,0.6900000000000001,pymatgen,True,3.0,assembly_theory_exact,
58,gdb_59,[H]C#CC(=O)N([H])[H],True,Cs,2,1,0.73,pymatgen,True,3.0,assembly_theory_exact,
59,gdb_60,[H]C(=O)C(=O)C([H])([H])[H],True,Cs,2,1,0.73,pymatgen,True,2.0,assembly_theory_exact,
60,gdb_61,[H]/N=C(/C([H])=O)N([H])[H],True,C1,1,1,0.6900000000000001,pymatgen,True,3.0,assembly_theory_exact,
61,gdb_62,[H]C(=O)C(=O)N([H])[H],True,Cs,2,1,0.73,pymatgen,True,3.0,assembly_theory_exact,
62,gdb_63,[H]C#CC([H])(C([H])([H])[H])C([H])([H])[H],True,Cs,2,1,0.73,pymatgen,True,3.0,assembly_theory_exact,
63,gdb_64,[H]C([H])([H])C([H])(C#N)C([H])([H])[H],True,Cs,2,1,0.73,pymatgen,True,3.0,assembly_theory_exact,
64,gdb_65,[H]N([H])[C@@]([H])(C#N)C([H])([H])[H],True,C1,1,1,0.6900000000000001,pymatgen,True,3.0,assembly_theory_exact,
65,gdb_66,[H]C#C[C@]([H])(O[H])C([H])([H])[H],True,C1,1,1,0.6900000000000001,pymatgen,True,3.0,assembly_theory_exact,
66,gdb_67,[H]O[C@@]([H])(C#N)C([H])([H])[H],True,C1,1,1,0.6900000000000001,pymatgen,True,3.0,assembly_theory_exact,
67,gdb_68,[H]C(=O)C([H])(C([H])([H])[H])C([H])([H])[H],True,Cs,2,1,0.73,pymatgen,True,3.0,assembly_theory_exact,
68,gdb_69,[H]O[C@@]([H])(C([H])=O)C([H])([H])[H],True,C1,1,1,0.6900000000000001,pymatgen,True,3.0,assembly_theory_exact,
69,gdb_70,[H]C(=O)N(C([H])([H])[H])C([H])([H])[H],True,Cs,2,1,0.73,pymatgen,True,3.0,assembly_theory_exact,
70,gdb_71,[H]OC([H])([H])C(=O)C([H])([H])[H],True,Cs,2,1,0.73,pymatgen,True,3.0,assembly_theory_exact,
71,gdb_72,[H]C([H])([H])C(=O)C([H])([H])C([H])([H])[H],True,C1,1,1,0.6900000000000001,pymatgen,True,3.0,assembly_theory_exact,
72,gdb_73,[H]N([H])C(=O)C([H])([H])C([H])([H])[H],True,C1,1,1,0.6900000000000001,pymatgen,True,3.0,assembly_theory_exact,
73,gdb_74,[H]N(C(=O)C([H])([H])[H])C([H])([H])[H],True,C1,1,1,0.6900000000000001,pymatgen,True,3.0,assembly_theory_exact,
74,gdb_75,[H]N([H])C(=O)N([H])C([H])([H])[H],True,C1,1,1,0.6900000000000001,pymatgen,True,3.0,assembly_theory_exact,
75,gdb_76,[H][N-]C(OC([H])([H])[H])C([H])([H])[H],True,C1,1,1,0.6900000000000001,pymatgen,True,3.0,assembly_theory_exact,
76,gdb_77,[H]C([H])([H])OC(=O)C([H])([H])[H],True,Cs,2,1,0.73,pymatgen,True,3.0,assembly_theory_exact,
77,gdb_78,[H]N([H])C(=O)OC([H])([H])[H],True,Cs,2,1,0.73,pymatgen,True,3.0,assembly_theory_exact,
78,gdb_79,[H]OC([H])([H])C(=O)N([H])[H],True,Cs,2,1,0.73,pymatgen,True,3.0,assembly_theory_exact,
79,gdb_80,[H]OC(=O)C([H])([H])N([H])[H],True,Cs,2,1,0.73,pymatgen,True,3.0,assembly_theory_exact,
80,gdb_81,[H]OC([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],True,Cs,2,1,0.73,pymatgen,True,3.0,assembly_theory_exact,
81,gdb_82,[H]OC([H])([H])[C@]([H])(O[H])C([H])([H])[H],True,C1,1,1,0.6900000000000001,pymatgen,True,2.0,assembly_theory_exact,
82,gdb_83,[H]C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],True,Cs,2,1,0.73,pymatgen,True,2.0,assembly_theory_exact,
83,gdb_84,[H]O[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],True,C1,1,1,0.6900000000000001,pymatgen,True,3.0,assembly_theory_exact,
84,gdb_85,[H]C([H])([H])OC([H])(C([H])([H])[H])C([H])([H])[H],True,C1,1,1,0.6900000000000001,pymatgen,True,3.0,assembly_theory_exact,
85,gdb_86,[H]C([H])([H])C1(C([H])([H])[H])C([H])([H])C1([H])[H],True,C2v,4,2,0.81,pymatgen,True,3.0,assembly_theory_exact,
86,gdb_87,[H]C([H])([H])C1(C([H])([H])[H])OC1([H])[H],True,Cs,2,1,0.73,pymatgen,True,3.0,assembly_theory_exact,
87,gdb_88,[H]OC1(C([H])([H])[H])C([H])([H])C1([H])[H],True,C1,1,1,0.6900000000000001,pymatgen,True,3.0,assembly_theory_exact,
88,gdb_89,[H][N-]C1OC([H])([H])C1([H])[H],True,C1,1,1,0.6900000000000001,pymatgen,True,3.0,assembly_theory_exact,
89,gdb_90,[H]C1([H])C(=O)C([H])([H])C1([H])[H],True,Cs,2,1,0.73,pymatgen,True,3.0,assembly_theory_exact,
90,gdb_91,[H]N1C(=O)C([H])([H])C1([H])[H],True,Cs,2,1,0.73,pymatgen,True,3.0,assembly_theory_exact,
91,gdb_92,[H]C1([H])OC(=O)C1([H])[H],True,Cs,2,1,0.73,pymatgen,True,3.0,assembly_theory_exact,
92,gdb_93,[H]N1C([H])([H])C(=O)C1([H])[H],True,Cs,2,1,0.73,pymatgen,True,3.0,assembly_theory_exact,
93,gdb_94,[H]C1([H])OC([H])([H])C1=O,True,C2v,4,2,0.81,pymatgen,True,3.0,assembly_theory_exact,
94,gdb_95,[H]C([H])([H])C1([H])C([H])([H])C([H])([H])C1([H])[H],True,Cs,2,1,0.73,pymatgen,True,3.0,assembly_theory_exact,
95,gdb_96,[H]C1([H])O[C@@]([H])(C([H])([H])[H])C1([H])[H],True,C1,1,1,0.6900000000000001,pymatgen,True,3.0,assembly_theory_exact,
96,gdb_97,[H]C([H])([H])C1([H])C([H])([H])OC1([H])[H],True,Cs,2,1,0.73,pymatgen,True,3.0,assembly_theory_exact,
97,gdb_98,[H]OC1([H])C([H])([H])C([H])([H])C1([H])[H],True,Cs,2,1,0.73,pymatgen,True,3.0,assembly_theory_exact,
98,gdb_99,[H]OC1([H])C([H])([H])OC1([H])[H],True,Cs,2,1,0.73,pymatgen,True,3.0,assembly_theory_exact,
99,gdb_100,[H]C([H])([H])[C@@]1([H])C([H])([H])[C@@]1([H])C([H])([H])[H],True,Cs,2,1,0.73,pymatgen,True,3.0,assembly_theory_exact,
100,gdb_101,[H]O[C@]1([H])C([H])([H])[C@]1([H])C([H])([H])[H],True,C1,1,1,0.6900000000000001,pymatgen,True,3.0,assembly_theory_exact,
101,gdb_102,[H]C([H])([H])[N@@H+]1C([H])([H])[C@]1([H])C([H])([H])[H],True,C1,1,1,0.6900000000000001,pymatgen,True,3.0,assembly_theory_exact,
102,gdb_103,[H]C([H])([H])[C@]1([H])O[C@]1([H])C([H])([H])[H],True,Cs,2,1,0.73,pymatgen,True,3.0,assembly_theory_exact,
103,gdb_104,[H]O[C@@]1([H])C([H])([H])[C@@]1([H])O[H],True,C1,1,1,0.6900000000000001,pymatgen,True,3.0,assembly_theory_exact,
104,gdb_105,[H]C1([H])[C@]2([H])C([H])([H])[C@@]1([H])C2([H])[H],True,D3h,12,6,0.97,pymatgen,True,3.0,assembly_theory_exact,
105,gdb_107,[H]C#CC([H])([H])C#C[H],True,C2v,4,2,0.81,pymatgen,True,2.0,assembly_theory_exact,
106,gdb_108,[H]C#CC([H])([H])C#N,True,Cs,2,1,0.73,pymatgen,True,3.0,assembly_theory_exact,
107,gdb_109,[H]C([H])(C#N)C#N,True,C2v,4,2,0.81,pymatgen,True,2.0,assembly_theory_exact,
108,gdb_110,[H]C#CC([H])([H])C([H])=O,True,Cs,2,1,0.73,pymatgen,True,3.0,assembly_theory_exact,
109,gdb_111,[H]C(=O)C([H])([H])C#N,True,C1,1,1,0.6900000000000001,pymatgen,True,3.0,assembly_theory_exact,
110,gdb_112,[H]/N=C(\[H])N([H])C([H])=O,True,Cs,2,1,0.73,pymatgen,True,3.0,assembly_theory_exact,
111,gdb_113,[H][N-][C+]([H])OC([H])=O,True,Cs,2,1,0.73,pymatgen,True,3.0,assembly_theory_exact,
112,gdb_114,[H]C(=O)N([H])C([H])=O,True,C2v,4,2,0.81,pymatgen,True,2.0,assembly_theory_exact,
113,gdb_115,[H]C#CC#CC([H])([H])[H],True,C3v,6,3,0.89,pymatgen,True,2.0,assembly_theory_exact,
114,gdb_116,[H]C([H])([H])C#CC#N,True,C3v,6,3,0.89,pymatgen,True,3.0,assembly_theory_exact,
115,gdb_117,[H]C(=O)C#CC([H])([H])[H],True,Cs,2,1,0.73,pymatgen,True,3.0,assembly_theory_exact,
116,gdb_118,[H]OC([H])([H])C#CC([H])([H])[H],True,C1,1,1,0.6900000000000001,pymatgen,True,3.0,assembly_theory_exact,
117,gdb_119,[H]C([H])([H])C#CC([H])([H])C([H])([H])[H],True,Cs,2,1,0.73,pymatgen,True,3.0,assembly_theory_exact,
118,gdb_120,[H][C+]([NH2+]C([H])([H])[H])OC([H])([H])[H],True,C1,1,1,0.6900000000000001,pymatgen,True,3.0,assembly_theory_exact,
119,gdb_121,[H]C#CC([H])([H])C([H])([H])C([H])([H])[H],True,Cs,2,1,0.73,pymatgen,True,3.0,assembly_theory_exact,
120,gdb_122,[H]C([H])([H])C([H])([H])C([H])([H])C#N,True,Cs,2,1,0.73,pymatgen,True,3.0,assembly_theory_exact,
121,gdb_123,[H]N(C([H])([H])[H])C([H])([H])C#N,True,C1,1,1,0.6900000000000001,pymatgen,True,3.0,assembly_theory_exact,
122,gdb_124,[H]C#CC([H])([H])OC([H])([H])[H],True,Cs,2,1,0.73,pymatgen,True,3.0,assembly_theory_exact,
123,gdb_125,[H]C([H])([H])OC([H])([H])C#N,True,Cs,2,1,0.73,pymatgen,True,3.0,assembly_theory_exact,
124,gdb_126,[H]C#CC([H])([H])C([H])([H])O[H],True,C1,1,1,0.6900000000000001,pymatgen,True,3.0,assembly_theory_exact,
125,gdb_127,[H]OC([H])([H])C([H])([H])C#N,True,Cs,2,1,0.73,pymatgen,True,3.0,assembly_theory_exact,
126,gdb_128,[H]C(=O)C([H])([H])C([H])([H])C([H])([H])[H],True,Cs,2,1,0.73,pymatgen,True,3.0,assembly_theory_exact,
127,gdb_129,[H]C(=O)N([H])C([H])([H])C([H])([H])[H],True,C1,1,1,0.6900000000000001,pymatgen,True,3.0,assembly_theory_exact,
128,gdb_130,[H]C(=O)OC([H])([H])C([H])([H])[H],True,C1,1,1,0.6900000000000001,pymatgen,True,3.0,assembly_theory_exact,
129,gdb_131,[H]C(=O)C([H])([H])OC([H])([H])[H],True,Cs,2,1,0.73,pymatgen,True,3.0,assembly_theory_exact,
130,gdb_132,[H]OC([H])([H])C([H])([H])C([H])=O,True,C1,1,1,0.6900000000000001,pymatgen,True,3.0,assembly_theory_exact,
131,gdb_133,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],True,C1,1,1,0.6900000000000001,pymatgen,True,2.0,assembly_theory_exact,
132,gdb_134,[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],True,C1,1,1,0.6900000000000001,pymatgen,True,3.0,assembly_theory_exact,
133,gdb_135,[H]C([H])([H])OC([H])([H])C([H])([H])C([H])([H])[H],True,C1,1,1,0.6900000000000001,pymatgen,True,3.0,assembly_theory_exact,
134,gdb_136,[H]C([H])([H])C([H])([H])OC([H])([H])C([H])([H])[H],True,C2,2,2,0.73,pymatgen,True,2.0,assembly_theory_exact,
135,gdb_137,[H]OC([H])([H])C([H])([H])OC([H])([H])[H],True,C1,1,1,0.6900000000000001,pymatgen,True,3.0,assembly_theory_exact,
136,gdb_138,[H]OC([H])([H])C([H])([H])C([H])([H])O[H],True,C2,2,2,0.73,pymatgen,True,2.0,assembly_theory_exact,
137,gdb_139,[H]C#CC1([H])C([H])([H])C1([H])[H],True,Cs,2,1,0.73,pymatgen,True,3.0,assembly_theory_exact,
138,gdb_140,[H]C#C[C@]1([H])N([H])C1([H])[H],True,C1,1,1,0.6900000000000001,pymatgen,True,3.0,assembly_theory_exact,
139,gdb_141,[H]C#C[C@]1([H])OC1([H])[H],True,C1,1,1,0.6900000000000001,pymatgen,True,3.0,assembly_theory_exact,
140,gdb_142,[H]C1([H])C([H])([H])C1([H])C#N,True,Cs,2,1,0.73,pymatgen,True,3.0,assembly_theory_exact,
141,gdb_143,[H]N1C([H])([H])[C@]1([H])C#N,True,C1,1,1,0.6900000000000001,pymatgen,True,3.0,assembly_theory_exact,
142,gdb_144,[H]C1([H])O[C@@]1([H])C#N,True,C1,1,1,0.6900000000000001,pymatgen,True,3.0,assembly_theory_exact,
143,gdb_145,[H]C(=O)C1([H])C([H])([H])C1([H])[H],True,Cs,2,1,0.73,pymatgen,True,3.0,assembly_theory_exact,
144,gdb_146,[H]C(=O)[C@]1([H])N([H])C1([H])[H],True,C1,1,1,0.6900000000000001,pymatgen,True,3.0,assembly_theory_exact,
145,gdb_147,[H]C(=O)[C@]1([H])OC1([H])[H],True,C1,1,1,0.6900000000000001,pymatgen,True,3.0,assembly_theory_exact,
146,gdb_148,[H]C(=O)N1C([H])([H])C1([H])[H],True,Cs,2,1,0.73,pymatgen,True,4.0,assembly_theory_exact,
147,gdb_149,[H]C([H])([H])C([H])([H])C1([H])C([H])([H])C1([H])[H],True,C1,1,1,0.6900000000000001,pymatgen,True,3.0,assembly_theory_exact,
148,gdb_150,[H]C([H])([H])C([H])([H])[C@]1([H])OC1([H])[H],True,C1,1,1,0.6900000000000001,pymatgen,True,3.0,assembly_theory_exact,
149,gdb_151,[H]C([H])([H])C([H])([H])[NH+]1C([H])([H])C1([H])[H],True,C1,1,1,0.6900000000000001,pymatgen,True,3.0,assembly_theory_exact,
150,gdb_152,[H]C([H])([H])OC1([H])C([H])([H])C1([H])[H],True,C1,1,1,0.6900000000000001,pymatgen,True,4,assembly_theory_exact,
151,gdb_153,[H]OC([H])([H])C1([H])C([H])([H])C1([H])[H],True,Cs,2,1,0.73,pymatgen,True,3,assembly_theory_exact,
152,gdb_154,[H]OC([H])([H])[C@]1([H])N([H])C1([H])[H],True,C1,1,1,0.6900000000000001,pymatgen,True,3,assembly_theory_exact,
153,gdb_155,[H]OC([H])([H])[C@]1([H])OC1([H])[H],True,C1,1,1,0.6900000000000001,pymatgen,True,3,assembly_theory_exact,
154,gdb_156,[H]C1=C([H])C([H])([H])C([H])([H])C1([H])[H],True,Cs,2,1,0.73,pymatgen,True,3,assembly_theory_exact,
155,gdb_157,[H]C1=NC([H])([H])C([H])([H])O1,True,Cs,2,1,0.73,pymatgen,True,4,assembly_theory_exact,
156,gdb_158,[H]C1=C([H])C([H])([H])OC1([H])[H],True,Cs,2,1,0.73,pymatgen,True,3,assembly_theory_exact,
157,gdb_159,[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],True,D2,2,2,0.73,pymatgen,True,3,assembly_theory_exact,
158,gdb_160,[H]C1([H])OC([H])([H])C([H])([H])C1([H])[H],True,C2,2,2,0.73,pymatgen,True,3,assembly_theory_exact,
159,gdb_161,[H]C1([H])OC([H])([H])C([H])([H])O1,True,C2,2,2,0.73,pymatgen,True,3,assembly_theory_exact,
160,gdb_162,[H]C1([H])C([H])([H])[C@]2([H])C([H])([H])[C@]12[H],True,Cs,2,1,0.73,pymatgen,True,3,assembly_theory_exact,
161,gdb_163,[H]C1([H])O[C@@]2([H])C([H])([H])[C@@]12[H],True,C1,1,1,0.6900000000000001,pymatgen,True,3,assembly_theory_exact,
162,gdb_164,[H]C1([H])C([H])([H])[C@@]2([H])O[C@@]12[H],True,Cs,2,1,0.73,pymatgen,True,4,assembly_theory_exact,
163,gdb_165,[H]c1nn([H])c([H])c1[H],True,Cs,2,1,0.73,pymatgen,True,4,assembly_theory_exact,
164,gdb_166,[H]c1nnn([H])c1[H],True,Cs,2,1,0.73,pymatgen,True,4,assembly_theory_exact,
165,gdb_167,[H]c1nc([H])n([H])n1,True,Cs,2,1,0.73,pymatgen,True,3,assembly_theory_exact,
166,gdb_168,[H]c1nnc([H])n1[H],True,D2d,4,2,0.81,pymatgen,True,3,assembly_theory_exact,
167,gdb_169,[H]c1nn([H])nc1[H],True,C2v,4,2,0.81,pymatgen,True,3,assembly_theory_exact,
168,gdb_170,[H]c1noc([H])c1[H],True,Cs,2,1,0.73,pymatgen,True,4,assembly_theory_exact,
169,gdb_171,[H]c1nnoc1[H],True,Cs,2,1,0.73,pymatgen,True,4,assembly_theory_exact,
170,gdb_172,[H]c1noc([H])n1,True,Cs,2,1,0.73,pymatgen,True,4,assembly_theory_exact,
171,gdb_173,[H]c1nnc([H])o1,True,C2v,4,2,0.81,pymatgen,True,3,assembly_theory_exact,
172,gdb_174,[H]c1nnno1,True,Cs,2,1,0.73,pymatgen,True,4,assembly_theory_exact,
173,gdb_175,[H]c1nonc1[H],True,C2v,4,2,0.81,pymatgen,True,3,assembly_theory_exact,
174,gdb_176,[H]c1nnon1,True,Cs,2,1,0.73,pymatgen,True,4,assembly_theory_exact,
175,gdb_177,n1nnon1,True,C2v,4,2,0.81,pymatgen,True,3,assembly_theory_exact,
176,gdb_178,[H]C#C/C(=N/O[H])C([H])([H])[H],True,Cs,2,1,0.73,pymatgen,True,4,assembly_theory_exact,
177,gdb_179,[H]O/N=C(\C([H])([H])[H])C([H])([H])O[H],True,C1,1,1,0.6900000000000001,pymatgen,True,4,assembly_theory_exact,
178,gdb_180,[H]O/N=C(\C([H])([H])[H])C([H])([H])C([H])([H])[H],True,Cs,2,1,0.73,pymatgen,True,4,assembly_theory_exact,
179,gdb_181,[H]ONC1C([H])([H])C([H])([H])C1([H])[H],True,C1,1,1,0.6900000000000001,pymatgen,True,4,assembly_theory_exact,
180,gdb_182,[H]ONC1C([H])([H])N([H])C1([H])[H],True,C1,1,1,0.6900000000000001,pymatgen,True,4,assembly_theory_exact,
181,gdb_183,[H]ONC1C([H])([H])OC1([H])[H],True,C1,1,1,0.6900000000000001,pymatgen,True,4,assembly_theory_exact,
182,gdb_184,FC(F)(F)F,True,Td,24,12,0.97,pymatgen,True,2,assembly_theory_exact,
183,gdb_185,[H][N-]c1oc([H])c([H])[n+]1[H],True,Cs,2,1,0.73,pymatgen,True,5,assembly_theory_exact,
184,gdb_186,[H][N-]C1OC([H])=C([H])O1,True,Cs,2,1,0.73,pymatgen,True,4,assembly_theory_exact,
185,gdb_187,[H]c1c([H])n([H])c(=O)n1[H],True,C2v,4,2,0.81,pymatgen,True,4,assembly_theory_exact,
186,gdb_188,[H]c1oc(=O)n([H])c1[H],True,Cs,2,1,0.73,pymatgen,True,5,assembly_theory_exact,
187,gdb_189,[H]c1oc(=O)oc1[H],True,C2v,4,2,0.81,pymatgen,True,4,assembly_theory_exact,
188,gdb_190,[H]c1c([H])c(C([H])([H])[H])n([H])c1[H],True,Cs,2,1,0.73,pymatgen,True,4,assembly_theory_exact,
189,gdb_191,[H]c1oc(C([H])([H])[H])c([H])c1[H],True,Cs,2,1,0.73,pymatgen,True,4,assembly_theory_exact,
190,gdb_192,[H]c1nc([H])c(C([H])([H])[H])o1,True,Cs,2,1,0.73,pymatgen,True,5,assembly_theory_exact,
191,gdb_193,[H]c1nc(C([H])([H])[H])oc1[H],True,Cs,2,1,0.73,pymatgen,True,5,assembly_theory_exact,
192,gdb_194,[H]c1c([H])c(N([H])[H])n([H])c1[H],True,Cs,2,1,0.73,pymatgen,True,4,assembly_theory_exact,
193,gdb_195,[H]c1oc(N([H])[H])c([H])c1[H],True,Cs,2,1,0.73,pymatgen,True,4,assembly_theory_exact,
194,gdb_196,[H]c1nc([H])c(N([H])[H])o1,True,Cs,2,1,0.73,pymatgen,True,5,assembly_theory_exact,
195,gdb_197,[H]c1nc(N([H])[H])oc1[H],True,Cs,2,1,0.73,pymatgen,True,5,assembly_theory_exact,
