mol_index,id,smiles,point_group,order,max_rotation_order,confidence,method,assembly_index,source,success
34,gdb_35,[H]C(=O)C([H])([H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,2.0,assembly_theory_exact,True
35,gdb_36,[H]C(=O)N([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,2.0,assembly_theory_exact,True
36,gdb_37,[H]C(=O)OC([H])([H])[H],Cs,2,1,0.73,pymatgen,2.0,assembly_theory_exact,True
37,gdb_38,[H]OC([H])([H])C([H])=O,Cs,2,1,0.73,pymatgen,2.0,assembly_theory_exact,True
38,gdb_39,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],C2h,4,2,0.81,pymatgen,2.0,assembly_theory_exact,True
39,gdb_40,[H]OC([H])([H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,2.0,assembly_theory_exact,True
40,gdb_41,[H]C([H])([H])OC([H])([H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,2.0,assembly_theory_exact,True
41,gdb_42,[H]OC([H])([H])C([H])([H])O[H],C2,2,2,0.73,pymatgen,2.0,assembly_theory_exact,True
42,gdb_43,[H]C([H])([H])C1([H])C([H])([H])C1([H])[H],Cs,2,1,0.73,pymatgen,2.0,assembly_theory_exact,True
43,gdb_44,[H]C([H])([H])[C@]1([H])OC1([H])[H],C1,1,1,0.6900000000000001,pymatgen,2.0,assembly_theory_exact,True
44,gdb_45,[H]C([H])([H])[NH+]1C([H])([H])C1([H])[H],Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
45,gdb_46,[H]OC1([H])C([H])([H])C1([H])[H],Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
46,gdb_47,[H]C1([H])C([H])([H])C([H])([H])C1([H])[H],D2d,8,4,0.97,pymatgen,2.0,assembly_theory_exact,True
47,gdb_48,[H]C1([H])OC([H])([H])C1([H])[H],C2v,4,2,0.81,pymatgen,2.0,assembly_theory_exact,True
48,gdb_49,[H]ON=C(C([H])([H])[H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
49,gdb_50,[H]c1c([H])c([H])n([H])c1[H],C2v,4,2,0.81,pymatgen,3.0,assembly_theory_exact,True
50,gdb_51,[H]c1nc([H])n([H])c1[H],Cs,2,1,0.73,pymatgen,4.0,assembly_theory_exact,True
51,gdb_52,[H]c1oc([H])c([H])c1[H],C2v,4,2,0.81,pymatgen,3.0,assembly_theory_exact,True
52,gdb_53,[H]c1nc([H])c([H])o1,Cs,2,1,0.73,pymatgen,4.0,assembly_theory_exact,True
53,gdb_54,[H]C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],Td,24,12,0.97,pymatgen,2.0,assembly_theory_exact,True
54,gdb_55,[H]OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
55,gdb_56,[H]C#CC(=O)C([H])([H])[H],Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
56,gdb_57,[H]C([H])([H])C(=O)C#N,Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
57,gdb_58,[H]/N=C(/C#N)N([H])[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
58,gdb_59,[H]C#CC(=O)N([H])[H],Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
59,gdb_60,[H]C(=O)C(=O)C([H])([H])[H],Cs,2,1,0.73,pymatgen,2.0,assembly_theory_exact,True
60,gdb_61,[H]/N=C(/C([H])=O)N([H])[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
61,gdb_62,[H]C(=O)C(=O)N([H])[H],Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
62,gdb_63,[H]C#CC([H])(C([H])([H])[H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
63,gdb_64,[H]C([H])([H])C([H])(C#N)C([H])([H])[H],Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
64,gdb_65,[H]N([H])[C@@]([H])(C#N)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
65,gdb_66,[H]C#C[C@]([H])(O[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
66,gdb_67,[H]O[C@@]([H])(C#N)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
67,gdb_68,[H]C(=O)C([H])(C([H])([H])[H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
68,gdb_69,[H]O[C@@]([H])(C([H])=O)C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
69,gdb_70,[H]C(=O)N(C([H])([H])[H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
70,gdb_71,[H]OC([H])([H])C(=O)C([H])([H])[H],Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
71,gdb_72,[H]C([H])([H])C(=O)C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
72,gdb_73,[H]N([H])C(=O)C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
73,gdb_74,[H]N(C(=O)C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
74,gdb_75,[H]N([H])C(=O)N([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
75,gdb_76,[H][N-]C(OC([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
76,gdb_77,[H]C([H])([H])OC(=O)C([H])([H])[H],Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
77,gdb_78,[H]N([H])C(=O)OC([H])([H])[H],Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
78,gdb_79,[H]OC([H])([H])C(=O)N([H])[H],Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
79,gdb_80,[H]OC(=O)C([H])([H])N([H])[H],Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
80,gdb_81,[H]OC([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
81,gdb_82,[H]OC([H])([H])[C@]([H])(O[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,2.0,assembly_theory_exact,True
82,gdb_83,[H]C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,2.0,assembly_theory_exact,True
83,gdb_84,[H]O[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
84,gdb_85,[H]C([H])([H])OC([H])(C([H])([H])[H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
85,gdb_86,[H]C([H])([H])C1(C([H])([H])[H])C([H])([H])C1([H])[H],C2v,4,2,0.81,pymatgen,3.0,assembly_theory_exact,True
86,gdb_87,[H]C([H])([H])C1(C([H])([H])[H])OC1([H])[H],Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
87,gdb_88,[H]OC1(C([H])([H])[H])C([H])([H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
88,gdb_89,[H][N-]C1OC([H])([H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
89,gdb_90,[H]C1([H])C(=O)C([H])([H])C1([H])[H],Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
90,gdb_91,[H]N1C(=O)C([H])([H])C1([H])[H],Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
91,gdb_92,[H]C1([H])OC(=O)C1([H])[H],Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
92,gdb_93,[H]N1C([H])([H])C(=O)C1([H])[H],Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
93,gdb_94,[H]C1([H])OC([H])([H])C1=O,C2v,4,2,0.81,pymatgen,3.0,assembly_theory_exact,True
94,gdb_95,[H]C([H])([H])C1([H])C([H])([H])C([H])([H])C1([H])[H],Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
95,gdb_96,[H]C1([H])O[C@@]([H])(C([H])([H])[H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
96,gdb_97,[H]C([H])([H])C1([H])C([H])([H])OC1([H])[H],Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
97,gdb_98,[H]OC1([H])C([H])([H])C([H])([H])C1([H])[H],Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
98,gdb_99,[H]OC1([H])C([H])([H])OC1([H])[H],Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
99,gdb_100,[H]C([H])([H])[C@@]1([H])C([H])([H])[C@@]1([H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
100,gdb_101,[H]O[C@]1([H])C([H])([H])[C@]1([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
101,gdb_102,[H]C([H])([H])[N@@H+]1C([H])([H])[C@]1([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
102,gdb_103,[H]C([H])([H])[C@]1([H])O[C@]1([H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
103,gdb_104,[H]O[C@@]1([H])C([H])([H])[C@@]1([H])O[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
104,gdb_105,[H]C1([H])[C@]2([H])C([H])([H])[C@@]1([H])C2([H])[H],D3h,12,6,0.97,pymatgen,3.0,assembly_theory_exact,True
105,gdb_107,[H]C#CC([H])([H])C#C[H],C2v,4,2,0.81,pymatgen,2.0,assembly_theory_exact,True
106,gdb_108,[H]C#CC([H])([H])C#N,Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
107,gdb_109,[H]C([H])(C#N)C#N,C2v,4,2,0.81,pymatgen,2.0,assembly_theory_exact,True
108,gdb_110,[H]C#CC([H])([H])C([H])=O,Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
109,gdb_111,[H]C(=O)C([H])([H])C#N,C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
110,gdb_112,[H]/N=C(\[H])N([H])C([H])=O,Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
111,gdb_113,[H][N-][C+]([H])OC([H])=O,Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
112,gdb_114,[H]C(=O)N([H])C([H])=O,C2v,4,2,0.81,pymatgen,2.0,assembly_theory_exact,True
113,gdb_115,[H]C#CC#CC([H])([H])[H],C3v,6,3,0.89,pymatgen,2.0,assembly_theory_exact,True
114,gdb_116,[H]C([H])([H])C#CC#N,C3v,6,3,0.89,pymatgen,3.0,assembly_theory_exact,True
115,gdb_117,[H]C(=O)C#CC([H])([H])[H],Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
116,gdb_118,[H]OC([H])([H])C#CC([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
117,gdb_119,[H]C([H])([H])C#CC([H])([H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
118,gdb_120,[H][C+]([NH2+]C([H])([H])[H])OC([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
119,gdb_121,[H]C#CC([H])([H])C([H])([H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
120,gdb_122,[H]C([H])([H])C([H])([H])C([H])([H])C#N,Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
121,gdb_123,[H]N(C([H])([H])[H])C([H])([H])C#N,C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
122,gdb_124,[H]C#CC([H])([H])OC([H])([H])[H],Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
123,gdb_125,[H]C([H])([H])OC([H])([H])C#N,Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
124,gdb_126,[H]C#CC([H])([H])C([H])([H])O[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
125,gdb_127,[H]OC([H])([H])C([H])([H])C#N,Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
126,gdb_128,[H]C(=O)C([H])([H])C([H])([H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
127,gdb_129,[H]C(=O)N([H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
128,gdb_130,[H]C(=O)OC([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
129,gdb_131,[H]C(=O)C([H])([H])OC([H])([H])[H],Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
130,gdb_132,[H]OC([H])([H])C([H])([H])C([H])=O,C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
131,gdb_133,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,2.0,assembly_theory_exact,True
132,gdb_134,[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
133,gdb_135,[H]C([H])([H])OC([H])([H])C([H])([H])C([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
134,gdb_136,[H]C([H])([H])C([H])([H])OC([H])([H])C([H])([H])[H],C2,2,2,0.73,pymatgen,2.0,assembly_theory_exact,True
135,gdb_137,[H]OC([H])([H])C([H])([H])OC([H])([H])[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
136,gdb_138,[H]OC([H])([H])C([H])([H])C([H])([H])O[H],C2,2,2,0.73,pymatgen,2.0,assembly_theory_exact,True
137,gdb_139,[H]C#CC1([H])C([H])([H])C1([H])[H],Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
138,gdb_140,[H]C#C[C@]1([H])N([H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
139,gdb_141,[H]C#C[C@]1([H])OC1([H])[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
140,gdb_142,[H]C1([H])C([H])([H])C1([H])C#N,Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
141,gdb_143,[H]N1C([H])([H])[C@]1([H])C#N,C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
142,gdb_144,[H]C1([H])O[C@@]1([H])C#N,C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
143,gdb_145,[H]C(=O)C1([H])C([H])([H])C1([H])[H],Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
144,gdb_146,[H]C(=O)[C@]1([H])N([H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
145,gdb_147,[H]C(=O)[C@]1([H])OC1([H])[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
146,gdb_148,[H]C(=O)N1C([H])([H])C1([H])[H],Cs,2,1,0.73,pymatgen,4.0,assembly_theory_exact,True
147,gdb_149,[H]C([H])([H])C([H])([H])C1([H])C([H])([H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
148,gdb_150,[H]C([H])([H])C([H])([H])[C@]1([H])OC1([H])[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
149,gdb_151,[H]C([H])([H])C([H])([H])[NH+]1C([H])([H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
150,gdb_152,[H]C([H])([H])OC1([H])C([H])([H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
151,gdb_153,[H]OC([H])([H])C1([H])C([H])([H])C1([H])[H],Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
152,gdb_154,[H]OC([H])([H])[C@]1([H])N([H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
153,gdb_155,[H]OC([H])([H])[C@]1([H])OC1([H])[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
154,gdb_156,[H]C1=C([H])C([H])([H])C([H])([H])C1([H])[H],Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
155,gdb_157,[H]C1=NC([H])([H])C([H])([H])O1,Cs,2,1,0.73,pymatgen,4.0,assembly_theory_exact,True
156,gdb_158,[H]C1=C([H])C([H])([H])OC1([H])[H],Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
157,gdb_159,[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],D2,2,2,0.73,pymatgen,3.0,assembly_theory_exact,True
158,gdb_160,[H]C1([H])OC([H])([H])C([H])([H])C1([H])[H],C2,2,2,0.73,pymatgen,3.0,assembly_theory_exact,True
159,gdb_161,[H]C1([H])OC([H])([H])C([H])([H])O1,C2,2,2,0.73,pymatgen,3.0,assembly_theory_exact,True
160,gdb_162,[H]C1([H])C([H])([H])[C@]2([H])C([H])([H])[C@]12[H],Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
161,gdb_163,[H]C1([H])O[C@@]2([H])C([H])([H])[C@@]12[H],C1,1,1,0.6900000000000001,pymatgen,3.0,assembly_theory_exact,True
162,gdb_164,[H]C1([H])C([H])([H])[C@@]2([H])O[C@@]12[H],Cs,2,1,0.73,pymatgen,4.0,assembly_theory_exact,True
163,gdb_165,[H]c1nn([H])c([H])c1[H],Cs,2,1,0.73,pymatgen,4.0,assembly_theory_exact,True
164,gdb_166,[H]c1nnn([H])c1[H],Cs,2,1,0.73,pymatgen,4.0,assembly_theory_exact,True
165,gdb_167,[H]c1nc([H])n([H])n1,Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
166,gdb_168,[H]c1nnc([H])n1[H],D2d,4,2,0.81,pymatgen,3.0,assembly_theory_exact,True
167,gdb_169,[H]c1nn([H])nc1[H],C2v,4,2,0.81,pymatgen,3.0,assembly_theory_exact,True
168,gdb_170,[H]c1noc([H])c1[H],Cs,2,1,0.73,pymatgen,4.0,assembly_theory_exact,True
169,gdb_171,[H]c1nnoc1[H],Cs,2,1,0.73,pymatgen,4.0,assembly_theory_exact,True
170,gdb_172,[H]c1noc([H])n1,Cs,2,1,0.73,pymatgen,4.0,assembly_theory_exact,True
171,gdb_173,[H]c1nnc([H])o1,C2v,4,2,0.81,pymatgen,3.0,assembly_theory_exact,True
172,gdb_174,[H]c1nnno1,Cs,2,1,0.73,pymatgen,4.0,assembly_theory_exact,True
173,gdb_175,[H]c1nonc1[H],C2v,4,2,0.81,pymatgen,3.0,assembly_theory_exact,True
174,gdb_176,[H]c1nnon1,Cs,2,1,0.73,pymatgen,4.0,assembly_theory_exact,True
175,gdb_177,n1nnon1,C2v,4,2,0.81,pymatgen,3.0,assembly_theory_exact,True
176,gdb_178,[H]C#C/C(=N/O[H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,4.0,assembly_theory_exact,True
177,gdb_179,[H]O/N=C(\C([H])([H])[H])C([H])([H])O[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
178,gdb_180,[H]O/N=C(\C([H])([H])[H])C([H])([H])C([H])([H])[H],Cs,2,1,0.73,pymatgen,4.0,assembly_theory_exact,True
179,gdb_181,[H]ONC1C([H])([H])C([H])([H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
180,gdb_182,[H]ONC1C([H])([H])N([H])C1([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
181,gdb_183,[H]ONC1C([H])([H])OC1([H])[H],C1,1,1,0.6900000000000001,pymatgen,4.0,assembly_theory_exact,True
182,gdb_184,FC(F)(F)F,Td,24,12,0.97,pymatgen,2.0,assembly_theory_exact,True
183,gdb_185,[H][N-]c1oc([H])c([H])[n+]1[H],Cs,2,1,0.73,pymatgen,5.0,assembly_theory_exact,True
184,gdb_186,[H][N-]C1OC([H])=C([H])O1,Cs,2,1,0.73,pymatgen,4.0,assembly_theory_exact,True
185,gdb_187,[H]c1c([H])n([H])c(=O)n1[H],C2v,4,2,0.81,pymatgen,4.0,assembly_theory_exact,True
186,gdb_188,[H]c1oc(=O)n([H])c1[H],Cs,2,1,0.73,pymatgen,5.0,assembly_theory_exact,True
187,gdb_189,[H]c1oc(=O)oc1[H],C2v,4,2,0.81,pymatgen,4.0,assembly_theory_exact,True
188,gdb_190,[H]c1c([H])c(C([H])([H])[H])n([H])c1[H],Cs,2,1,0.73,pymatgen,4.0,assembly_theory_exact,True
189,gdb_191,[H]c1oc(C([H])([H])[H])c([H])c1[H],Cs,2,1,0.73,pymatgen,4.0,assembly_theory_exact,True
190,gdb_192,[H]c1nc([H])c(C([H])([H])[H])o1,Cs,2,1,0.73,pymatgen,5.0,assembly_theory_exact,True
191,gdb_193,[H]c1nc(C([H])([H])[H])oc1[H],Cs,2,1,0.73,pymatgen,5.0,assembly_theory_exact,True
192,gdb_194,[H]c1c([H])c(N([H])[H])n([H])c1[H],Cs,2,1,0.73,pymatgen,4.0,assembly_theory_exact,True
193,gdb_195,[H]c1oc(N([H])[H])c([H])c1[H],Cs,2,1,0.73,pymatgen,4.0,assembly_theory_exact,True
194,gdb_196,[H]c1nc([H])c(N([H])[H])o1,Cs,2,1,0.73,pymatgen,5.0,assembly_theory_exact,True
195,gdb_197,[H]c1nc(N([H])[H])oc1[H],Cs,2,1,0.73,pymatgen,5.0,assembly_theory_exact,True
196,gdb_198,[H]Oc1c([H])c([H])c([H])n1[H],Cs,2,1,0.73,pymatgen,4.0,assembly_theory_exact,True
197,gdb_199,[H]Oc1c([H])nc([H])n1[H],Cs,2,1,0.73,pymatgen,5.0,assembly_theory_exact,True
198,gdb_200,[H]Oc1nc([H])c([H])n1[H],Cs,2,1,0.73,pymatgen,5.0,assembly_theory_exact,True
199,gdb_201,[H]c1c(C([H])([H])[H])c([H])n([H])c1[H],Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
200,gdb_202,[H]c1nc(C([H])([H])[H])c([H])n1[H],Cs,2,1,0.73,pymatgen,5.0,assembly_theory_exact,True
201,gdb_203,[H]c1oc([H])c(C([H])([H])[H])c1[H],Cs,2,1,0.73,pymatgen,3.0,assembly_theory_exact,True
202,gdb_204,[H]c1nc(C([H])([H])[H])c([H])o1,Cs,2,1,0.73,pymatgen,5.0,assembly_theory_exact,True
203,gdb_205,[H]c1c(N([H])[H])c([H])n([H])c1[H],Cs,2,1,0.73,pymatgen,4.0,assembly_theory_exact,True
204,gdb_206,[H]c1nc(N([H])[H])c([H])n1[H],Cs,2,1,0.73,pymatgen,5.0,assembly_theory_exact,True
